id,time,text,plus,minus
1,2025/10/16(木) 16:39:55,主と主人は学年は違いますが同い年です。男女の平均寿命をみると女性のほうがとても長いです。出来れば似たような時期に死にたいです。主人が亡くなってから何年も生きていける気がしません。どうして女性の方が寿命が長いのだと思いますか,5,13
2,2025/10/16(木) 16:40:37,身の回りのことを1人でできる人が多いからじゃない,106,12
3,2025/10/16(木) 16:40:43,"女性の方が健康だと聞いた
あと孫の世話をする為だとか",57,8
4,2025/10/16(木) 16:40:51,適度に弱音を吐いてガス抜きできるから,7,14
5,2025/10/16(木) 16:40:54,エストロゲンのおかげ,17,9
6,2025/10/16(木) 16:40:54,男は命削って働いてるから急に電池が切れる,40,47
7,2025/10/16(木) 16:40:59,なんだかんだ社会的なストレスが男性と比べると少ない,34,38
8,2025/10/16(木) 16:40:59,"ネガティブだから
男性に比べて危ない事を避けがちな性質だから",56,2
9,2025/10/16(木) 16:41:00,痛みに強く出来ているみたいな話あったよね,31,11
10,2025/10/16(木) 16:41:01,女性のほうが食事など自分のことは自分でできるし、孤独に強いから,59,5
11,2025/10/16(木) 16:41:02,男がいなくても生きていけるから,30,4
12,2025/10/16(木) 16:41:04,">>1
ストレス耐性が強いから。",27,2
13,2025/10/16(木) 16:41:09,男性はよく働くしストレスを抱えてるから,4,18
14,2025/10/16(木) 16:41:09,,12,2
15,2025/10/16(木) 16:41:10,個は短い,0,1
16,2025/10/16(木) 16:41:33,長生きが幸せだとは限らないよ,30,4
17,2025/10/16(木) 16:41:34,家事が呆け防止になってるんですって,23,1
18,2025/10/16(木) 16:41:36,"マイナス食らうだろうけど、なんだかんだ男の人ほど働かないからかなって思ってる。
社会でのストレスは思う以上に身体的負担は大きそう",33,15
19,2025/10/16(木) 16:41:42,危険な場所へはあまり行きたがらないから,4,0
20,2025/10/16(木) 16:41:47,">>9
そうじゃなきゃ出産なんてやってられん",18,0
21,2025/10/16(木) 16:41:47,脂肪,2,1
22,2025/10/16(木) 16:42:05,"体力的には男の方が強いけれど、生命力としては女の方が強いのは、女が子を産める性別だから
もし男が子を産めるなら、男の方が寿命が長い",23,0
23,2025/10/16(木) 16:42:06,生理があるから,2,1
24,2025/10/16(木) 16:42:08,"若い頃から女性の方が健康に気を使ってるからじゃない？
暴飲暴食してる女性も勿論いるけども。",11,2
25,2025/10/16(木) 16:42:10,">>14
47年羨ましい
４０～５０代で〇にたい",12,8
26,2025/10/16(木) 16:42:12,">>14
あと50年近く寿命があるのか…長いな",17,0
27,2025/10/16(木) 16:42:12,ストレス発散が上手く出来るからかな,1,2
28,2025/10/16(木) 16:42:15,男性は過労とストレスかな,4,1
29,2025/10/16(木) 16:42:17,">>9
でも実際は女性の方が痛みに弱いと聞いたよ",3,2
30,2025/10/16(木) 16:42:18,"あの平均寿命って仕事を苦に自殺した人も含まれてるんじゃなかったっけ
そういう人を省かないことには何とも言えんかも",2,0
31,2025/10/16(木) 16:42:42,">>6
女性もじゃん",16,6
32,2025/10/16(木) 16:42:47,女性ホルモンの分泌量が男性より多いから。,5,0
33,2025/10/16(木) 16:42:56,">>1
脂肪が多いから",0,0
34,2025/10/16(木) 16:43:02,">>1
女のほうが寿命長いのって日本だけなんじゃなかったっけ？
それは自殺率だったっけ？
何かが日本だけだったよね。",2,5
35,2025/10/16(木) 16:43:08,"会社では社会的責任・家庭では経済的な責任の割合が女性に比べて大きい
夫婦の場合でも夫のクビは一家そろって死活問題になりがち",5,2
36,2025/10/16(木) 16:43:10,生理があって、なくなった分新しい血が作られるからって大学の教授が言ってたよ,14,0
37,2025/10/16(木) 16:43:11,">>7
違うでしょ
ストレス耐性が女性は強いんじゃなかった？",6,4
38,2025/10/16(木) 16:43:16,食生活かな,2,1
39,2025/10/16(木) 16:43:23,">>14
男性に生まれたかった
長生きしたくない
夫より後に逝く確率が高いの嫌だ",10,2
40,2025/10/16(木) 16:43:25,">>14
戦後すぐあたりの平均寿命そんなに短かったん？",6,0
41,2025/10/16(木) 16:43:32,男やもめに,2,0
42,2025/10/16(木) 16:43:55,出産しないといけないし栄養蓄えるのが上手いのかな,2,0
43,2025/10/16(木) 16:43:56,男が常に一定の状態なのに対して女は生理や更年期で省エネを強制させられる時期がある。その間の分寿命が長い。,2,0
44,2025/10/16(木) 16:43:57,男は自殺率が高いのもあるけど、そもそも遺伝子的にXYよりXXの方が強いみたいな話なかった？,2,0
45,2025/10/16(木) 16:44:26,女性が優遇される世の中だから,1,3
46,2025/10/16(木) 16:44:32,酒タバコやるのが男の方が圧倒的に多いから,6,1
